model,split,class,precision,recall,f1,support
from_scratch_siamese_cnn,val,no-damage,0.9350774475654042,0.8035793898477804,0.8643556895252449,15701
from_scratch_siamese_cnn,val,minor-damage,0.43098284780833107,0.6157137300661222,0.5070467648942986,2571
from_scratch_siamese_cnn,val,major-damage,0.41239479724560063,0.4630584192439863,0.43626062322946174,1164
from_scratch_siamese_cnn,val,destroyed,0.4379118094272681,0.8554455445544554,0.5792826014079785,1010
from_scratch_siamese_cnn,test_id,no-damage,0.9309789549669609,0.8178536585365853,0.8707574852631852,20500
from_scratch_siamese_cnn,test_id,minor-damage,0.4149848637739657,0.579225352112676,0.4835390946502058,2840
from_scratch_siamese_cnn,test_id,major-damage,0.5071254779283977,0.580812101910828,0.5414733716830581,2512
from_scratch_siamese_cnn,test_id,destroyed,0.44696657036731324,0.7621393384940183,0.5634755463059313,1421
from_scratch_siamese_cnn,test_ood,no-damage,0.9650524213679481,0.6413404114134041,0.7705800279051226,12056
from_scratch_siamese_cnn,test_ood,minor-damage,0.015043877977434183,0.3103448275862069,0.02869669190912714,116
from_scratch_siamese_cnn,test_ood,major-damage,0.02413793103448276,0.4057971014492754,0.045565500406834825,138
from_scratch_siamese_cnn,test_ood,destroyed,0.7344900105152471,0.6029348295209322,0.6622422374970373,2317
