feature,coef,se,t,p,model
intercept,0.4608235864924385,0.03559993081148098,12.944507924263236,0.0,naive
income_2017,0.21069305753005446,0.06771864201885512,3.1113006883893286,0.0020502497959919985,naive
median_home_value_2017,-0.1500100316938957,0.057181204373835275,-2.6234150423480176,0.009170749617492868,naive
renter_pct_2017,0.015108023125648629,0.04623270167261266,0.32678218185545327,0.7440708281548047,naive
intercept,0.4608235864924385,0.03522492339932097,13.082316213108408,0.0,controlled
income_2017,0.2253094372621447,0.06741326836747841,3.342212041017711,0.00094217603618163,controlled
median_home_value_2017,-0.1394491064165573,0.05726894807485323,-2.4349863425864,0.015505903171798785,controlled
renter_pct_2017,0.032080987247912016,0.046218433627066555,0.6941167134042524,0.48817440778912724,controlled
building_density,-0.08528658499786748,0.03893284163154285,-2.190607760024623,0.029290120368266725,controlled
building_age,-0.10209971625980468,0.03980998293103945,-2.564676212915393,0.010839556692345154,controlled
